Month,Pages Read,Books Read
2018-06,561,1
2018-07,2291,4
2018-08,2818.33,5
2018-09,2577.57,6
2018-10,1848.1,8
2018-11,2904.5,4
2018-12,2402.07,7
2019-01,2769.77,7
2019-02,1924.16,6
2019-03,2211.5,4
2019-04,1759.5,5
2019-05,2106.3,6
2019-06,2542.14,5
2019-07,2240.3,5
2019-08,2457.84,6
2019-09,1955.86,5
2019-10,2961,7
2019-11,2335.6,6
2019-12,2362.4,6
2020-01,3376.44,2
2020-02,3002.56,9
2020-03,2239,6
